the,27643
and,26728
i,20681
to,19198
of,18173
a,14613
you,13649
my,12480
that,11121
in,10967
is,9598
not,8725
for,8244
with,7996
me,7768
it,7690
be,7090
your,6882
his,6857
this,6847
but,6270
he,6251
as,5958
have,5887
thou,5485
so,5268
him,5192
will,4979
what,4465
by,4412
thy,4032
all,3887
are,3851
her,3843
no,3796
do,3754
shall,3591
if,3503
we,3306
thee,3178
or,3123
our,3068
lord,3059
on,3051
king,2861
good,2812
now,2779
sir,2754
from,2646
o,2608
at,2509
come,2507
they,2471
well,2462
which,2316
would,2295
more,2291
was,2229
then,2222
she,2208
am,2168
how,2160
here,2114
let,2099
enter,2098
their,2077
love,2053
when,2051
them,1980
ill,1972
hath,1941
than,1881
may,1865
an,1836
man,1835
there,1808
one,1787
go,1734
upon,1731
like,1703
say,1680
know,1647
make,1629
did,1626
us,1622
such,1615
were,1577
should,1576
yet,1569
must,1492
why,1465
see,1440
had,1427
tis,1405
out,1376
some,1338
give,1333
these,1324
time,1270
too,1233
where,1232
can,1213
who,1203
take,1198
most,1182
speak,1165
mine,1161
first,1161
th,1148
duke,1071
up,1069
tell,1059
exeunt,1035
much,1035
think,1025
never,1011
heart,985
exit,984
nor,969
queen,943
doth,939
any,936
art,915
great,899
hear,871
lady,864
death,858
away,858
men,853
world,849
hand,838
father,836
before,835
life,834
look,829
made,827
very,813
scene,795
true,792
sweet,789
thus,782
god,773
own,771
again,768
master,765
ay,764
cannot,762
fair,757
prince,742
pray,730
day,720
old,711
two,703
been,697
son,691
eyes,690
other,678
long,671
being,662
name,655
down,654
leave,651
done,650
both,641
into,640
blood,639
nothing,633
night,630
though,628
poor,626
therefore,626
fear,625
could,623
till,617
comes,616
whose,615
heaven,615
noble,611
ever,596
against,595
better,594
hast,584
nay,584
grace,576
gloucester,573
second,572
many,572
honour,569
even,567
stand,567
myself,566
henry,563
way,562
brother,557
call,555
still,552
use,548
those,547
john,540
house,538
bear,534
peace,534
only,532
dead,530
france,527
find,527
caesar,524
gentleman,514
head,514
live,513
wife,510
antony,509
madam,507
part,506
richard,500
lords,497
word,497
might,496
put,494
within,493
every,491
york,485
brutus,483
little,481
friends,480
off,478
keep,477
die,474
none,467
aside,465
gone,464
set,462
young,462
fool,461
hold,461
best,459
thine,455
himself,451
mistress,450
others,449
since,448
dear,447
copies,446
bring,444
falstaff,444
distributed,443
electronic,443
service,443
indeed,437
soul,437
friend,436
another,430
place,430
page,429
dost,429
unto,428
stay,426
words,423
whom,423
once,419
eye,418
boy,417
servant,416
show,416
else,416
face,416
full,415
gods,415
warwick,411
daughter,410
after,405
about,403
faith,400
thats,399
tongue,397
please,393
theres,392
has,389
three,384
said,381
answer,380
thought,375
forth,369
hence,366
gentle,366
welcome,365
marry,365
without,364
iago,362
mother,360
ere,359
ham,358
makes,358
mind,357
thing,355
hope,354
matter,354
farewell,352
clown,350
right,350
william,348
sword,347
act,346
end,345
heard,345
nature,344
rest,344
whats,338
home,338
cause,337
bid,337
things,336
back,335
came,333
truth,330
othello,325
rome,325
does,324
meet,324
lie,323
thousand,322
rather,321
woman,321
hands,319
edward,318
help,317
news,315
fortune,314
get,312
enough,311
fellow,309
follow,308
1,308
timon,308
power,307
wilt,307
state,305
play,303
shame,302
2,301
earth,300
messenger,300
hour,299
fall,299
pardon,298
hes,298
shalt,295
sure,292
hither,292
husband,291
under,290
ye,289
thank,289
false,289
loves,286
honest,285
kings,284
macbeth,284
tears,284
mean,282
reason,281
yourself,280
far,279
kind,278
lay,278
lets,278
youth,277
fight,277
fathers,276
hell,275
ford,275
bed,270
shakespeare,268
last,268
turn,267
seen,266
sent,266
near,265
england,265
light,264
rosalind,264
means,264
spirit,263
cleopatra,263
saw,261
through,261
lucius,261
wit,260
cousin,258
send,258
break,257
sleep,257
crown,257
body,256
together,256
majesty,256
lost,255
yours,255
court,255
swear,255
fire,255
hot,254
buckingham,254
soldier,253
shallow,252
arms,252
provided,252
war,252
prove,252
antonio,252
troilus,251
works,251
reenter,251
strange,250
project,249
suffolk,247
complete,246
thoughts,246
lies,245
letter,245
left,245
present,244
while,244
cassio,243
used,242
etext,242
fly,241
villain,241
itself,240
each,240
third,240
speed,240
mad,240
says,239
syracuse,238
justice,238
charges,237
times,236
between,236
alone,236
personal,234
beat,234
believe,233
gutenberg,233
tomorrow,232
library,232
child,232
business,232
high,231
valentine,230
titus,230
days,230
lear,229
cassius,229
gave,229
copyright,228
wrong,228
seek,228
told,227
soldiers,226
college,226
desdemona,226
mark,226
permission,225
alas,224
french,224
hearts,224
readable,224
found,224
inc,224
bloody,224
distribution,224
benedictine,223
machine,223
includes,223
illinois,223
dromio,223
beseech,223
sun,222
worthy,222
version,222
horse,221
prohibited,221
commercial,221
19901993,221
download,221
commercially,221
membership,221
less,221
proteus,220
antipholus,220
desire,218
same,218
sound,218
foul,218
ha,217
gold,217
pity,217
devil,217
neer,216
prithee,216
mrs,216
cry,215
coriolanus,214
care,214
looks,214
new,213
knows,213
sit,212
grief,212
gentlemen,211
save,211
petruchio,210
royal,210
clarence,210
angelo,209
heres,209
wish,209
dare,208
purpose,207
lose,207
breath,207
draw,207
toby,206
land,206
bastard,206
half,206
company,205
nurse,204
worth,204
margaret,204
lives,204
general,204
proud,203
oer,203
yes,203
read,202
happy,202
sea,201
beauty,201
music,201
people,200
charge,200
wear,200
sight,199
pompey,199
talk,199
quickly,198
kill,198
age,197
hector,197
return,196
menenius,196
berowne,196
brought,196
uncle,195
ho,195
sons,195
gracious,195
cold,195
holy,195
