the,9342
and,4943
to,4789
of,3914
he,3650
a,3606
harry,2906
was,2741
said,2632
his,2579
in,2178
it,2121
you,1917
had,1870
at,1692
i,1612
that,1586
as,1361
him,1360
on,1227
with,1148
they,1116
ron,979
for,976
but,976
were,929
her,885
up,884
she,835
hermione,824
all,805
them,798
out,776
be,751
from,716
what,702
into,692
not,689
have,675
back,588
been,571
is,570
now,547
their,546
dumbledore,530
this,524
mr,521
there,520
about,510
who,501
then,501
around,490
so,488
looked,483
one,473
down,471
me,471
very,466
over,466
no,449
an,447
could,444
when,438
just,437
my,432
like,429
though,420
got,417
if,404
would,399
its,397
we,383
weasley,370
do,367
more,357
know,354
by,352
your,349
see,347
well,339
again,326
hagrid,324
looking,323
did,322
off,317
eyes,316
are,315
moody,311
didnt,309
right,301
get,300
will,294
dont,292
crouch,291
still,289
professor,289
face,278
going,274
through,273
time,273
wand,273
how,271
which,269
look,268
than,265
go,263
too,261
come,255
before,253
voice,252
saw,238
harrys,233
here,230
head,228
only,226
potter,226
think,225
cedric,224
or,224
told,217
bagman,210
snape,207
room,206
thought,204
can,202
way,200
never,197
toward,195
im,195
dark,194
something,194
much,193
hes,193
where,192
sirius,191
some,189
himself,189
krum,189
turned,188
other,187
hogwarts,187
fred,186
seemed,186
voldemort,184
behind,182
away,180
heard,179
long,177
table,176
great,174
once,174
want,173
hand,172
after,172
any,172
put,166
last,166
tell,163
went,163
hall,162
really,161
dobby,161
two,160
first,160
oh,159
people,159
large,159
front,158
even,156
door,156
mrs,155
knew,155
good,153
say,152
made,152
george,152
ever,151
felt,148
feet,147
winky,145
has,144
yeah,143
take,143
because,142
next,142
karkaroff,140
moment,140
why,139
us,138
three,136
might,136
anything,135
upon,135
left,134
every,134
ive,134
couldnt,133
robes,132
took,132
magical,129
youre,129
each,127
wasnt,127
came,127
asked,125
hands,123
another,123
yes,121
cup,120
pulled,120
trying,119
thats,119
fire,119
across,118
let,118
ministry,117
old,117
malfoy,117
ill,117
make,116
course,115
staring,114
seen,113
both,112
while,112
